DATE_CREATED,TURBIDEZ,PH,TEMPERATURA,TDS,CONDUTIVIDADE
2023-11-14 23:38:24,0.5,6.8,25.12,102.82,210.92
2023-11-14 23:39:05,0.5,6.84,26.32,105.46,205.73
2023-11-14 23:39:47,0.5,6.82,26.43,102.87,205.29
2023-11-14 23:40:27,0.5,6.86,26.46,102.08,205.19
2023-11-14 23:41:09,0.5,6.85,26.57,102.64,204.75
2023-11-14 23:42:08,0.5,6.85,26.55,102.6,204.84
2023-11-14 23:42:51,0.5,6.8,26.66,102.37,204.4
2023-11-14 23:43:33,0.5,6.84,26.5,102.42,205.02
2023-11-14 23:44:15,0.5,6.85,26.3,102.2,205.83
2023-11-14 23:44:55,0.5,6.84,26.46,102.51,204.61
2023-11-14 23:45:36,0.5,6.88,26.54,102.92,204.84
2023-11-14 23:46:17,0.5,6.87,26.57,102.3,204.75
2023-11-14 23:47:00,0.5,6.87,26.61,102.42,204.58
2023-11-14 23:47:40,0.5,6.84,26.41,102.38,205.38
2023-11-14 23:48:20,0.5,6.89,26.52,102.29,204.93
2023-11-14 23:49:01,0.5,6.86,26.54,102.69,204.84
2023-11-14 23:49:43,0.5,6.89,26.59,102.47,204.66
2023-11-14 23:50:24,0.5,6.87,26.41,102.42,205.38
2023-11-14 23:51:07,0.5,6.89,26.57,102.33,204.75
2023-11-14 23:51:46,0.5,6.86,26.52,102.69,204.93
2023-11-14 23:52:27,0.5,6.91,26.66,102.38,204.4
2023-11-14 23:53:08,0.5,6.87,27.2,102.46,202.9
2023-11-14 23:53:48,0.5,6.89,26.7,102.2,204.22
2023-11-14 23:54:30,0.5,6.87,26.86,101.45,203.6
2023-11-14 23:55:10,0.5,6.89,26.88,102.11,203.53
2023-11-14 23:55:52,0.5,6.91,26.79,101.8,203.86
2023-11-14 23:56:33,0.5,6.91,26.23,101.77,206.13
2023-11-14 23:57:14,0.5,6.91,26.12,101.93,206.6
2023-11-14 23:57:55,0.5,6.89,26.66,103.06,204.4
2023-11-14 23:58:38,0.5,6.94,27.11,103.3,202.64
2023-11-14 23:59:18,0.5,6.87,26.63,102.2,204.48
2023-11-14 23:59:59,0.5,6.93,26.81,101.32,203.78
2023-11-15 00:00:40,0.5,6.91,26.66,102.24,204.4
2023-11-15 00:01:21,0.5,6.98,26.57,101.89,204.75
2023-11-15 00:02:03,0.5,6.91,26.73,102.2,204.14
2023-11-15 00:02:43,0.5,6.94,26.81,102.38,203.78
2023-11-15 00:03:25,0.5,6.93,26.7,102.07,204.22
2023-11-15 00:04:06,0.5,6.91,27.32,101.89,201.92
2023-11-15 00:04:46,0.5,6.97,26.66,102.11,204.4
2023-11-15 00:05:27,0.5,6.95,26.57,100.96,204.76
